"customer_id","r_score","f_score","m_score","rfm_cell","customer_segment"
0,1,1,1,111,Hibernating / Lost
12748,1,1,1,111,Hibernating / Lost
14911,1,1,1,111,Hibernating / Lost
17841,1,1,1,111,Hibernating / Lost
13089,1,1,1,111,Hibernating / Lost
14606,1,1,1,111,Hibernating / Lost
15311,1,1,1,111,Hibernating / Lost
12971,1,1,1,111,Hibernating / Lost
14646,1,1,1,111,Hibernating / Lost
16029,1,1,1,111,Hibernating / Lost
13408,1,1,1,111,Hibernating / Lost
18102,1,1,1,111,Hibernating / Lost
13798,1,1,1,111,Hibernating / Lost
14156,1,1,1,111,Hibernating / Lost
14527,1,1,1,111,Hibernating / Lost
16422,1,1,1,111,Hibernating / Lost
13694,1,1,1,111,Hibernating / Lost
15061,1,1,1,111,Hibernating / Lost
16013,1,1,1,111,Hibernating / Lost
15039,1,1,1,111,Hibernating / Lost
17450,1,1,1,111,Hibernating / Lost
17949,1,1,1,111,Hibernating / Lost
14298,1,1,1,111,Hibernating / Lost
15189,1,1,1,111,Hibernating / Lost
17811,1,1,1,111,Hibernating / Lost
17961,1,1,2,112,Hibernating / Lost
13199,1,1,1,111,Hibernating / Lost
17315,1,1,1,111,Hibernating / Lost
13767,1,1,1,111,Hibernating / Lost
12921,1,1,1,111,Hibernating / Lost
13468,1,1,1,111,Hibernating / Lost
13263,1,1,1,111,Hibernating / Lost
17389,1,1,1,111,Hibernating / Lost
16839,1,1,1,111,Hibernating / Lost
13777,1,1,1,111,Hibernating / Lost
16133,1,1,1,111,Hibernating / Lost
15078,1,1,1,111,Hibernating / Lost
14735,1,1,1,111,Hibernating / Lost
12569,1,1,1,111,Hibernating / Lost
17511,1,1,1,111,Hibernating / Lost
17675,1,1,1,111,Hibernating / Lost
12682,1,1,1,111,Hibernating / Lost
12471,1,1,1,111,Hibernating / Lost
15159,1,1,1,111,Hibernating / Lost
17677,1,1,1,111,Hibernating / Lost
17757,1,1,1,111,Hibernating / Lost
17381,1,1,1,111,Hibernating / Lost
16684,1,1,1,111,Hibernating / Lost
13098,1,1,1,111,Hibernating / Lost
12901,1,1,1,111,Hibernating / Lost
17428,1,1,1,111,Hibernating / Lost
13018,1,1,1,111,Hibernating / Lost
15005,1,1,1,111,Hibernating / Lost
15856,1,1,1,111,Hibernating / Lost
15498,1,1,1,111,Hibernating / Lost
16168,1,1,1,111,Hibernating / Lost
15769,1,1,1,111,Hibernating / Lost
16525,1,1,1,111,Hibernating / Lost
13078,1,1,1,111,Hibernating / Lost
13319,1,1,1,111,Hibernating / Lost
17243,1,1,1,111,Hibernating / Lost
18109,1,1,1,111,Hibernating / Lost
18118,1,1,1,111,Hibernating / Lost
17581,1,1,1,111,Hibernating / Lost
14667,1,1,1,111,Hibernating / Lost
13854,1,1,1,111,Hibernating / Lost
14849,1,1,1,111,Hibernating / Lost
13534,1,1,1,111,Hibernating / Lost
12720,1,1,1,111,Hibernating / Lost
14180,1,1,1,111,Hibernating / Lost
12841,1,1,1,111,Hibernating / Lost
13113,1,1,1,111,Hibernating / Lost
13102,1,1,1,111,Hibernating / Lost
13069,1,1,1,111,Hibernating / Lost
17857,1,1,1,111,Hibernating / Lost
14051,1,1,1,111,Hibernating / Lost
15615,1,1,1,111,Hibernating / Lost
14056,1,1,1,111,Hibernating / Lost
16353,1,1,1,111,Hibernating / Lost
16333,1,1,1,111,Hibernating / Lost
12681,1,1,1,111,Hibernating / Lost
16779,1,1,1,111,Hibernating / Lost
15358,1,1,1,111,Hibernating / Lost
14560,1,1,1,111,Hibernating / Lost
12415,1,1,1,111,Hibernating / Lost
14194,1,1,1,111,Hibernating / Lost
16523,1,1,1,111,Hibernating / Lost
16729,1,1,1,111,Hibernating / Lost
16814,1,1,1,111,Hibernating / Lost
13668,1,1,1,111,Hibernating / Lost
14688,1,1,1,111,Hibernating / Lost
13599,1,1,1,111,Hibernating / Lost
16931,1,1,1,111,Hibernating / Lost
17068,1,1,1,111,Hibernating / Lost
18041,1,1,1,111,Hibernating / Lost
13881,1,1,1,111,Hibernating / Lost
16705,1,1,1,111,Hibernating / Lost
12621,1,1,1,111,Hibernating / Lost
14895,1,1,1,111,Hibernating / Lost
17865,1,1,1,111,Hibernating / Lost
16033,1,1,1,111,Hibernating / Lost
17017,1,1,1,111,Hibernating / Lost
16558,1,1,1,111,Hibernating / Lost
16672,1,1,1,111,Hibernating / Lost
18172,1,1,1,111,Hibernating / Lost
18229,1,1,1,111,Hibernating / Lost
17377,1,1,1,111,Hibernating / Lost
15838,1,1,1,111,Hibernating / Lost
14031,1,1,1,111,Hibernating / Lost
15513,1,1,1,111,Hibernating / Lost
17735,1,1,1,111,Hibernating / Lost
17306,1,1,1,111,Hibernating / Lost
16923,1,1,1,111,Hibernating / Lost
14060,1,1,1,111,Hibernating / Lost
16161,1,1,1,111,Hibernating / Lost
13267,1,1,1,111,Hibernating / Lost
16945,1,1,1,111,Hibernating / Lost
17576,1,1,1,111,Hibernating / Lost
14397,1,1,1,111,Hibernating / Lost
16210,1,1,1,111,Hibernating / Lost
